,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,emode,cbeth_collateral,reth_collateral,reth_price,cbeth_price,eth_price,steth_price,collateral_reth_calc,collateral_cbeth_calc,collateral_steth_calc,ethdebt_calc,diff_collateral,diff_debt
0,0xdaef20ea4708fcff06204a4fe9ddf41db056ba18,62342453.05639189,43871126.73590176,1177574686223364,9235,8926,1.3123268008173372,30737.07408732766,25512.847244312103,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,59673705.389676556,43879485.69960487,0.042807870654388826,0.00041870932849496633
1,0xaf06acfd1bd492b913d5807d562e4fc3a6343c4e,36025694.04894248,30347078.49392479,207604615012344,9300,9000,1.1040237521454885,18559.856528450866,17648.06230274104,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,36032558.18711967,30352860.65970176,0.00019053451594488283,0.00041870932848239484
2,0x9600a48ed0f931d0c422d574e3275a90d8b22745,35164180.11725683,30172084.84709221,147567725843894,9300,9000,1.0838723169042301,18116.018445897207,17546.296368913285,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,35170880.10729406,30177833.670540545,0.00019053451594466767,0.0004187093284951275
5,0x33333aea097c193e66081e930c33020272b33333,27241847.8218975,18732507.19396968,575518981313398,9288,8989,1.3507123202986746,13853.946474733073,10893.715983629443,1,1e-15,75.06137739946794,1847.86124623,1786.5052977,1719.89763743,1941.42439258,138703.0103851212,1.7865052977000002e-12,26896389.619544487,18736076.383077707,0.007589617023030904,0.0004187093284949061
7,0xb5b29320d2dde5ba5bafa1ebcd270052070483ec,25186106.77167399,21328754.62682517,133874146768142,9300,9000,1.0981925437033069,12975.475991037458,12403.539621431624,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,25190905.594336268,21332818.49066965,0.0001905345159449611,0.0004187093284952627
8,0x8e884c724edded0bb4fc659b96511a48d8f1c39d,18559784.51804652,16720761.12689463,0,9300,9000,1.0322855204252828,9561.701639555746,9723.803699119333,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,18563320.797605705,16723947.008948436,0.0001905345159446965,0.0004187093284949454
10,0xe6c2ebad69b325be894f768972dc8f896994e6ce,14081286.52942277,11582968.4033544,109018947312609,9300,9000,1.130590710112852,7254.451707912791,6735.967947425463,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,14083969.500535533,11585175.35858126,0.00019053451594479355,0.0004187093284951244
12,0x2ee3afb00e0dde92da976930047b0001c9ed2924,11975547.31683152,9366069.46564483,141192311950354,9300,9000,1.1891070256851377,6169.608828302151,5446.7509119401,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,11977829.071942708,9367854.025115477,0.0001905345159448964,0.0004187093284955747
18,0x05e11de553a95955151d9815ef96ad0cd8daf6de,6577206.72039923,5443141.55505465,44674706306286,9274,8955,1.1206215107218551,3322.9509242330596,3165.4085353051382,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,6451257.979652317,5444178.661372064,0.019149275079994383,0.0004187093284961692
19,0x159c1fcc4aa34ffcd0cb9e5a6d34051a82c119b0,6150076.75587905,5465552.41244393,6951666784722,9300,9000,1.0464763579881224,3168.4203522354196,3178.441361761336,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,6151248.557776758,5466593.788803114,0.00019053451594537655,0.00041870932849672897
21,0x83e1d994dbc9c0868cd83c7b8c4db2bd2341cb1e,5448930.68952071,4156886.72401008,74715089655856,9300,9000,1.2190626970863716,2807.2012073823184,2417.3989567217895,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,5449968.89889206,4157678.754391553,0.00019053451594575074,0.00041870932849674583
22,0x45533541aac25030b5d438e37cec18e73b545310,5237873.18659088,4342675.74492857,37141012300322,9300,9000,1.1217098281441327,2698.467785944025,2525.4428403197185,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,5238871.182223076,4343503.1745303925,0.0001905345159464237,0.00041870932849678155
23,0x5ebcf153f7e1d18679bba56f4c8d3ea40052cd21,5201187.1349023,4313857.25264278,36721116876929,9300,9000,1.1212944129052498,2679.5677238103035,2508.683713162468,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,5202178.140575391,4314679.191327249,0.00019053451594556835,0.0004187093284961421
