,Unnamed: 0,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,collateral_steth_calc,diff_collateral,diff_debt,usdc,usdc_price,usdc_decimals,usdc_threshold,usdt,usdt_price,usdt_decimals,usdt_threshold,dai,dai_price,dai_decimals,dai_threshold,fei,fei_price,fei_decimals,fei_threshold,tusd,tusd_price,tusd_decimals,tusd_threshold,susd,susd_price,susd_decimals,susd_threshold,usdp,usdp_price,usdp_decimals,usdp_threshold,frax,frax_price,frax_decimals,frax_threshold,gusd,gusd_price,gusd_decimals,gusd_threshold,busd,busd_price,busd_decimals,busd_threshold,fei_debt,usdc_debt,usdt_debt,dai_debt,frax_debt,gusd_debt,susd_debt,tusd_debt,debt_stable_calc,diff_debt_stable,usdc_collateral,dai_collateral,fei_collateral,tusd_collateral,collateral_stable_calc
0,3,0x171c53d55b1bcb725f660677d9e8bad7fd084282,32170.58914054161,22850.09381627766,312730364912300751372,8300,7200,1.1685548952813576,32178.81200565736,0.0,32170.4728714505,3.6141424269081593e-06,1.0,500308098126.0,580223303700951,6,0.875,24378196728716.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,1.4397462924606643e+25,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,290.2904175630073,14159.951167623694,0.0,0.0,0.0,0.0,8399.861334576957,22850.10291976366,3.984003774664911e-07,200386860,0,0,0,0.11626912592745996
1,5,0x06185ca50a8ab43726b08d8e65c6f2173fb2b236,25979.649816488803,11733.210668256756,6972137199615181591999,8300,7200,1.8377842141727616,25986.38418397332,0.0,25979.649816488807,1.4003186466288526e-16,1.0,0.0,580223303700951,6,0.875,12462940731520.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0,7239.035525356778,0.0,0.0,0.0,0.0,0.0,7239.035525356778,0.3830302949437874,0,0,0,0,0.0
2,7,0x3c9ea5c4fec2a77e23dd82539f4414266fe8f757,21177.107478510065,6867.768813709071,8379748570818176400932,8300,7200,2.5593463734651483,21182.596945266807,0.0,21177.107478510068,1.7178827707152321e-16,1.0,0.0,580223303700951,6,0.875,6002684993677.0,580844896987157,6,0,5.820438687753987e+24,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0,3486.6289467986703,3381.1410434651216,0.0,0.0,0.0,0.0,6867.769990263792,1.7131542330717128e-07,0,0,0,0,0.0
3,8,0x78e96be52e38b3fc3445a2ed34a6e586ffab9631,20657.25613573184,13608.509480009378,1235794779127519926170,8282,7186,1.2571795284961154,20459.50280380542,2232.331568148673,20454.20072678478,0.0098297376773008,0.8359606118930275,19606553673928.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,11376.179346876525,0.0,0.0,0.0,0.0,0.0,0.0,11376.179346876525,0.1640392826570831,0,0,0,0,0.0
4,11,0x3b69035f18e923ad2144f775a6156931f9b15d2d,16876.492666360373,6915.41879883181,5098956330350138501449,8212,7119,2.00406890468532,14904.377064715623,0.0,14900.514597680158,0.1170846400223251,1.0,11918548646785.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,6915.419671158093,0.0,0.0,0.0,0.0,0.0,0.0,6915.419671158093,1.26142220454965e-07,0,0,0,0,0.0
5,12,0xef001a0d62d43ccab7ac9c461f538e707a9edbf2,28990.98569728292,8896.865727336668,13460982442407920357334,8446,7712,2.752181191707737,14836.586773074874,0.0,14832.741873883111,0.4883671073221474,1.0,15333522098920.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,8896.866849606902,0.0,0.0,0.0,0.0,0.0,0.0,8896.866849606902,1.2614220205018767e-07,0,0,0,0,0.0
6,13,0x0082ce7f8a3e3c69e7c5cd801760d40d55ce119c,14005.57391164562,7555.879890061156,2528133326323690633329,8300,7200,1.538487444983959,14009.204394820676,0.0,14005.57391164562,0.0,1.0,0.0,580223303700951,6,0.875,13008431469012.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0,7555.881036582767,0.0,0.0,0.0,0.0,0.0,7555.881036582767,1.51738993600034e-07,0,0,0,0,0.0
7,14,0x99fd1378ca799ed6772fe7bcdc9b30b389518962,12030.59084883607,2381.372909224652,6280652501937318060380,8300,7200,4.19312337259479,12033.709382781068,0.0004806864336492,12030.59084883607,0.0,0.9999997981473496,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0
8,17,0xbebcf4b70935f029697f39f66f4e5cea315128c3,11021.393525771722,5170.380234718567,2765023103837073142301,8300,7200,1.7692618745840571,11024.250458590996,0.0,11021.393525771722,0.0,1.0,8911019005859.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,5170.380886921474,0.0,0.0,0.0,0.0,0.0,0.0,5170.380886921474,1.2614215523020947e-07,0,0,0,0,0.0
9,18,0x92d78e32b990d10aeca0875dc5585f1a6f958179,10297.350702364974,6656.40364498986,757688860712922820203,8300,7200,1.2839968155170298,10300.019950959027,1173.196500843807,10297.350702364974,0.0,0.8237491949985862,7147053862821.0,580223303700951,6,0.875,1466388767418.0,580844896987157,6,0,8.341698242665558e+23,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,4146.887204014644,851.7444325540323,484.57616020968754,0.0,0.0,0.0,0.0,5483.207796778363,0.17625070695563025,0,0,0,0,0.0
10,19,0x1f244e040713b4139b4d98890db0d2d7d6468de4,10019.158514045172,5081.360905445238,2132433224667286747711,8300,7200,1.6365500741634174,10021.755650488343,0.0,10019.158514045172,0.0,1.0,8757596330221.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,5081.361475200153,0.0,0.0,0.0,0.0,0.0,0.0,5081.361475200153,1.1212644123874046e-07,0,0,0,0,0.0
11,23,0x6fc6f371763371f0fd66e65b157017eb7ce7e1a1,11829.59932132909,2376.512714963139,6357280463974128498783,8352,7383,4.157386279049343,9759.835353739962,0.0,9757.306093901612,0.1751786490089378,1.0,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,4.091029866977092e+24,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0,0.0,2376.5131350632923,0.0,0.0,0.0,0.0,2376.5131350632923,1.7677168346737494e-07,0,0,0,0,0.0
12,21,0xf929122994e177079c924631ba13fb280f5cd1f9,12814.572901374691,4982.003948027745,4537942260403514136370,8357,7429,2.1495644494457538,9737.384728447514,0.0,9734.861286685273,0.2403288535944136,1.0,294438036.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.17083980998313958,0.0,0.0,0.0,0.0,0.0,0.0,0.17083980998313958,0.9999657086160979,0,0,0,0,0.0
13,25,0xee2826453a4fd5afeb7ceffeef3ffa2320081268,10488.483970710162,7204.796683696684,506336731569426996811,8297,7352,1.207847428948292,8020.402907198045,0.0,8018.324421012026,0.2355115912458112,1.0,5804787931713.0,580223303700951,6,0.875,4242974157195.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,3368.0732310219273,2464.5098872550993,0.0,0.0,0.0,0.0,0.0,5832.583118277027,0.19045833292211556,0,0,0,0,0.0
14,26,0x8cc2af700d686e7e21135681511992c972dbd8ea,16316.592042783272,3081.710112822996,8666236157980959256229,8245,7200,4.365443097096235,7499.541622395811,0.0,7497.598117332041,0.5404923958585959,1.0,5311249103406.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,3081.710501556943,0.0,0.0,0.0,0.0,0.0,0.0,3081.710501556943,1.2614228234188384e-07,0,0,0,0,0.0
15,29,0x41339d9825963515e5705df8d3b0ea98105ebb1c,6037.41978906999,1572.9767550870608,2773965493043331789167,8300,7200,3.1857167683642853,6038.98479105443,0.0,6037.41978906999,0.0,1.0,2710985445476.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,1572.9769314592793,0.0,0.0,0.0,0.0,0.0,0.0,1572.9769314592793,1.1212639848453056e-07,0,0,0,0,0.0
16,28,0x664dd5bcf28bbb3518ff532a384849830f2154ea,6821.938395727847,1325.6195168328838,3669403776519045471963,8368,7322,4.306362404186544,5781.695123135548,0.0,5780.196797729174,0.152704632843218,1.0,0.0,580223303700951,6,0.875,2282226643586.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0,1325.6196996950553,0.0,0.0,0.0,0.0,0.0,1325.6196996950553,1.3794468857159807e-07,1795415476616,0,0,0,1041.7418993579531
