,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,emode,cbeth_collateral,reth_collateral,reth_price,cbeth_price,eth_price,steth_price,collateral_reth_calc,collateral_cbeth_calc,collateral_steth_calc,ethdebt_calc,diff_collateral,diff_debt,usdc,usdc_price,usdc_decimals,usdc_threshold,usdc_ethreshold,usdt,usdt_price,usdt_decimals,usdt_threshold,usdt_ethreshold,dai,dai_price,dai_decimals,dai_threshold,dai_ethreshold,lusd,lusd_price,lusd_decimals,lusd_threshold,lusd_ethreshold,usdc_debt,usdt_debt,dai_debt,lusd_debt,debt_stable_calc,diff_debt_stable,usdc_collateral,dai_collateral,collateral_stable_calc
0,0x7902d79ada34e3cb32a3faa5496334a004589925,30902297.12544092,10150333.02346188,1117225199309235,8000,6900,2.435569123023817,15920.365066903667,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,30908185.0796653,0.0,0.00019053451594478705,1.0,10148185570986.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,10150333.637425812,0.0,0.0,0.0,10150333.637425812,6.048707272754446e-08,0,0,0.0
1,0x390cff8f9495ba93b5c8846468e2398f878b6249,58611279.78928588,29479370.0865795,1289072407309526,7972,7229,1.5850037538383577,14155.730681887668,0.0,0,0.0,6601.958539166356,1847.86124623,1786.5052977,1719.89763743,1941.42439258,12199503.333742732,0.0,27482280.840609834,0.0,0.32296676822254994,1.0,0.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0
2,0xfe13988736d95d052c2e45e5b4e1ef2e2750b7f4,26396008.68355059,3401729.45288235,1481151653876756,8000,6900,6.207667963996313,13598.797941960072,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,26401038.034287985,0.0,0.00019053451594485982,1.0,0.0,100021167,6,0.76,0,3402595491101.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,0.0,3401729.700678289,0.0,0.0,3401729.700678289,7.284410545050021e-08,0,0,0.0
3,0x5de64f9503064344db3202d95ceb73c420dccd57,17728831.45105168,11186879.85487897,99991888457395,7939,6874,1.25816308672086,8350.038797141517,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,16210968.999759901,0.0,0.08561548207407303,1.0,3130557470465.0,100021167,6,0.76,0,8057710800033.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,3131220.1155647733,8055660.515519932,0.0,0.0,11186880.631084705,6.938536440458692e-08,0,0,0.0
4,0x790c9422839fd93a3a4e31e531f96cc87f397c00,13780178.89667927,8791816.77520753,70823855616316,7984,6894,1.2514017423718462,6921.295640463609,0.0,0,0.0,187.04451564384775,1847.86124623,1786.5052977,1719.89763743,1941.42439258,345632.3117781272,0.0,13437172.184653664,0.0,0.0001905345186160673,1.0,4247932740625.0,100021167,6,0.76,0,4544141719449.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,4248831.9005482085,4542985.462588486,0.0,0.0,8791817.363136694,6.687231753806192e-08,0,0,0.0
5,0x307111465e4cedd89fa28b9768981b8768a3cabe,10061475.44464918,6593741.421661,34867663514693,8000,6900,1.2207303624732841,5183.509871136042,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,10063392.503002726,0.0,0.00019053451594563698,1.0,6592346498281.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,6593741.900264292,0.0,0.0,0.0,6593741.900264292,7.258447998648254e-08,0,0,0.0
6,0x42c8e43048f6ff3586945a1fd23e0bec540dcd07,10392206.3014123,6647490.13990724,48156338286160,7900,6860,1.235028981664692,4549.793236195039,0.0,0,0.0,295.99044925273625,1847.86124623,1786.5052977,1719.89763743,1941.42439258,546949.2804283388,0.0,8833079.569944546,0.0,0.09739774420200455,1.0,3327471770110.0,100021167,6,0.76,0,3320159341796.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,3328176.0960595794,3319314.52725148,0.0,0.0,6647490.62331106,7.271974977610183e-08,0,0,0.0
7,0xa4dfe02df1aed4196a42b0009c9ee1e66af21d46,10454754.55781029,4425332.89877948,306968064371472,8070,7169,1.9065202824582634,4123.059937674473,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,8004609.135070596,0.0,0.23435704867019547,1.0,397341190842.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,397425.29605186556,0.0,0.0,0.0,397425.29605186556,0.9101931300667851,0,0,0.0
8,0xe34bb624055b171d777eccbbfc3baaeeffbe432c,7707641.59003759,718881.93198043,459939076514551,8000,6900,8.577365764421423,3970.8526333864743,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,7709110.161797029,0.0,0.0001905345159454815,1.0,718729850612.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,718881.9841594792,0.0,0.0,0.0,718881.9841594792,7.258361463429079e-08,0,0,0.0
9,0xab92fca834aac2afe16cf6a2fc60cc7a864a77a5,7584937.76316861,4862619.69455467,36036844916323,7959,6886,1.2414814122655276,3644.513626537285,0.0,0,0.0,276.44673268153593,1847.86124623,1786.5052977,1719.89763743,1941.42439258,510835.20396911463,0.0,7075547.653649681,0.0,0.00019052159626191747,1.0,3126585076027.0,100021167,6,0.76,0,1735814866827.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,3127246.880290043,1735373.1887341358,0.0,0.0,4862620.069024179,7.700982862542534e-08,0,0,0.0
