,Unnamed: 0,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,collateral_steth_calc,diff_collateral,diff_debt,usdc,usdc_price,usdc_decimals,usdc_threshold,usdt,usdt_price,usdt_decimals,usdt_threshold,dai,dai_price,dai_decimals,dai_threshold,fei,fei_price,fei_decimals,fei_threshold,tusd,tusd_price,tusd_decimals,tusd_threshold,susd,susd_price,susd_decimals,susd_threshold,usdp,usdp_price,usdp_decimals,usdp_threshold,frax,frax_price,frax_decimals,frax_threshold,gusd,gusd_price,gusd_decimals,gusd_threshold,busd,busd_price,busd_decimals,busd_threshold,wbtc,wbtc_price,wbtc_decimals,wbtc_threshold,fei_debt,usdc_debt,usdt_debt,dai_debt,frax_debt,gusd_debt,susd_debt,tusd_debt,wbtc_debt,debt_stable_calc,debt_wbtc_calc,usdc_collateral,dai_collateral,fei_collateral,tusd_collateral,wbtc_collateral,weth_collateral,collateral_stable_calc,collateral_wbtc_calc,collateral_eth_calc,eth_wbtc_stablec_debt_diff,eth_steth_wbtc_stablec_collateral_diff
0,0,0x777777c9898d384f785ee44acfe945efdff5f3e0,216846.78649390864,50826.212980883145,105433581366627419974147,8280,7206,3.53260903550868,171745.0021573263,25917.304317709262,171700.49446629977,0.208194425001899,0.4900799646934677,35122749232221.0,580223303700951,6,0.875,2582180526981.0,580844896987157,6,0,5.151038253272968e+24,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,2.0,15472525091899483083,8,0.82,0.0,20379.037594579313,1499.8463821965217,2992.280786539961,0.0,0.0,0.0,0.0,3.094505018379897e-07,24871.1647633158,3.094505018379897e-07,5830795630457,98945667004297076138909,0,0,265368473368,3,3440.6418614225245,41059.2036278544,3e-18,0.0007426069607591179,0.00298112113526805
1,1,0xa976ea51b9ba3232706af125a92e32788dc08ddc,93361.96976942528,52173.48167021151,15196515715405773408680,8277,7216,1.4811298748780637,61017.57615688338,45068.8368011365,61001.76346136,0.3466101495928676,0.1361734858712986,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3107146087762,434737652174202144283061,0,0,195862187543,0,2055.38127113215,30304.8261131339,0.0,0.13617348587129874,-1.1527185872495238e-08
2,6,0xc94680947cf2114ec8ee43725898eaa7269a98c5,34421.090475607285,20344.61357107835,5130435489918601851402,8411,7401,1.4230586930483895,25307.66026589748,20344.61357107835,25301.101789612465,0.2649535084444159,0.0,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14907463406154,0,0,0,3039802298,0,8649.657667319705,470.3341733021871,0.0,0.0,-9.164808645323319e-08
4,36,0xe9e6d5663ec820bc5bebaca5555120ab6b4a437d,7079.59454985674,4401.841464255263,774050111145000078996,8448,7311,1.3587135121257392,4444.313863260247,4401.841406113443,4443.162120002708,0.3723987879937817,1.3208522009630994e-08,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4538467441185225834140180,0,0,0,0,2636.4333279735924,0.0,0.0,1.3208522164909198e-08,-1.2686031025666011e-07
6,44,0xbbe3188a1e6bfe7874f069a9164a923725b8bd68,3651.1833101077927,2300.204529446501,328647453831109651551,8274,7200,1.3133567176785488,2723.525426902742,2300.204529446501,2722.819625705148,0.2542637839717878,0.0,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6000078776,0,0.0,928.3636941503353,0.0,0.0,-2.6697346555693002e-09
7,56,0x3f3429d28438cc14133966820b8a9ea61cf1d4f0,13607.367082710469,2517.253654819087,7280050644732449038298,8200,7200,4.432624811751242,2482.0339251915434,1041.1812649313863,2481.3907064796617,0.8176435829652513,0.5863820624758552,490054951190.0,580223303700951,6,0.875,2051721081475.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,284.3413027744701,1191.7317202157246,0.0,0.0,0.0,0.0,0.0,0.0,1476.0730229901947,0.0,0,0,0,0,87945355695,0,0.0,13607.367227069126,0.0,-2.5150524374240035e-07,-0.18235642764360915
9,81,0x3d57b83154423edb0ba0e747b03858e69075fca1,2020.5420393902868,1312.1448308251174,142645437535889160037,8260,7200,1.2719386498568743,1216.0393776139888,1312.1448308251174,1215.7242411953737,0.3983177694425862,0.0,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5201593159,0,0.0,804.817806704802,0.0,0.0,-4.211686110977553e-09
10,84,0xe2653d08d70cf47bce18e3471bab8ee6aa1e6ee2,1112.7090538178577,760.5081679688769,40642350779980628172,8300,7200,1.2143834261969653,1112.997486946275,553.1339317897911,1112.7090538178577,0.0,0.2726785127540832,0.0,580223303700951,6,0.875,357021858906.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,0.0,207.37432485841887,0.0,0.0,0.0,0.0,0.0,0.0,207.37432485841887,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-1.1660536558544266e-07,0.0
11,87,0x32ec8541bb748d7e23d3ec2f24cd06054c13a4ec,1093.1730840238656,795.6424846211676,0,8300,7200,1.140378596263397,1093.4564530963512,401.3215230838805,1093.1730840238656,0.0,0.4956006864377493,0.0,580223303700951,6,0.875,652127227710.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,100412522.0,15472525091899483083,8,0.82,0.0,0.0,378.78477240173527,0.0,0.0,0.0,0.0,0.0,15.536352661859087,378.78477240173527,15.536352661859087,0,0,0,0,0,0,0.0,0.0,0.0,-2.0552736978984854e-07,0.0
12,98,0x002183113f3fedc5b494080954e5e8faeb070fd3,848.906980380355,600.0397823100358,11173243563819805282,8300,7200,1.1742434659967882,849.1270315206294,451.84147578264657,848.9069803803549,1.3392143114511594e-16,0.2469808017676006,0.0,580223303700951,6,0.875,70297280003.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,693917235.0,15472525091899483083,8,0.82,0.0,0.0,40.83181636181987,0.0,0.0,0.0,0.0,0.0,107.3665183023901,40.83181636181987,107.3665183023901,0,0,0,0,0,0,0.0,0.0,0.0,-4.6891592164755025e-08,1.1102230246251565e-16
