,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,emode,cbeth_collateral,reth_collateral,reth_price,cbeth_price,eth_price,steth_price,collateral_reth_calc,collateral_cbeth_calc,collateral_steth_calc,ethdebt_calc,diff_collateral,diff_debt
0,0xdaef20ea4708fcff06204a4fe9ddf41db056ba18,62342453.05639189,43871126.73590176,1177574686223364,9235,8926,1.3123268008173372,30737.07408732766,25512.847244312103,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,59673705.389676556,43879485.69960487,0.042807870654388826,0.00041870932849496633
1,0xaf06acfd1bd492b913d5807d562e4fc3a6343c4e,36025694.04894248,30347078.49392479,207604615012344,9300,9000,1.1040237521454885,18559.856528450866,17648.06230274104,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,36032558.18711967,30352860.65970176,0.00019053451594488283,0.00041870932848239484
2,0x9600a48ed0f931d0c422d574e3275a90d8b22745,35164180.11725683,30172084.84709221,147567725843894,9300,9000,1.0838723169042301,18116.018445897207,17546.296368913285,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,35170880.10729406,30177833.670540545,0.00019053451594466767,0.0004187093284951275
3,0x7902d79ada34e3cb32a3faa5496334a004589925,30902297.12544092,10150333.02346188,1117225199309235,8000,6900,2.435569123023817,15920.365066903667,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,30908185.0796653,0.0,0.00019053451594478705,1.0
4,0x390cff8f9495ba93b5c8846468e2398f878b6249,58611279.78928588,29479370.0865795,1289072407309526,7972,7229,1.5850037538383577,14155.730681887668,0.0,0,0.0,6601.958539166356,1847.86124623,1786.5052977,1719.89763743,1941.42439258,12199503.333742732,0.0,27482280.840609834,0.0,0.32296676822254994,1.0
5,0x33333aea097c193e66081e930c33020272b33333,27241847.8218975,18732507.19396968,575518981313398,9288,8989,1.3507123202986746,13853.946474733073,10893.715983629443,1,1e-15,75.06137739946794,1847.86124623,1786.5052977,1719.89763743,1941.42439258,138703.0103851212,1.7865052977000002e-12,26896389.619544487,18736076.383077707,0.007589617023030904,0.0004187093284949061
6,0xfe13988736d95d052c2e45e5b4e1ef2e2750b7f4,26396008.68355059,3401729.45288235,1481151653876756,8000,6900,6.207667963996313,13598.797941960072,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,26401038.034287985,0.0,0.00019053451594485982,1.0
7,0xb5b29320d2dde5ba5bafa1ebcd270052070483ec,25186106.77167399,21328754.62682517,133874146768142,9300,9000,1.0981925437033069,12975.475991037458,12403.539621431624,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,25190905.594336268,21332818.49066965,0.0001905345159449611,0.0004187093284952627
8,0x8e884c724edded0bb4fc659b96511a48d8f1c39d,18559784.51804652,16720761.12689463,0,9300,9000,1.0322855204252828,9561.701639555746,9723.803699119333,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,18563320.797605705,16723947.008948436,0.0001905345159446965,0.0004187093284949454
9,0x5de64f9503064344db3202d95ceb73c420dccd57,17728831.45105168,11186879.85487897,99991888457395,7939,6874,1.25816308672086,8350.038797141517,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,16210968.999759901,0.0,0.08561548207407303,1.0
10,0xe6c2ebad69b325be894f768972dc8f896994e6ce,14081286.52942277,11582968.4033544,109018947312609,9300,9000,1.130590710112852,7254.451707912791,6735.967947425463,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,14083969.500535533,11585175.35858126,0.00019053451594479355,0.0004187093284951244
11,0x790c9422839fd93a3a4e31e531f96cc87f397c00,13780178.89667927,8791816.77520753,70823855616316,7984,6894,1.2514017423718462,6921.295640463609,0.0,0,0.0,187.04451564384775,1847.86124623,1786.5052977,1719.89763743,1941.42439258,345632.3117781272,0.0,13437172.184653664,0.0,0.0001905345186160673,1.0
12,0x2ee3afb00e0dde92da976930047b0001c9ed2924,11975547.31683152,9366069.46564483,141192311950354,9300,9000,1.1891070256851377,6169.608828302151,5446.7509119401,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,11977829.071942708,9367854.025115477,0.0001905345159448964,0.0004187093284955747
13,0x307111465e4cedd89fa28b9768981b8768a3cabe,10061475.44464918,6593741.421661,34867663514693,8000,6900,1.2207303624732841,5183.509871136042,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,10063392.503002726,0.0,0.00019053451594563698,1.0
